state,x,y
Andhra Pradesh,-92.0,-213.0
Arunachal Pradesh,273.0,127.0
Assam,244.0,78.0
Bihar,76.0,53.0
Chhattisgarh,-20.0,-48.0
Goa,-197.0,-198.0
Gujarat,-262.0,-7.0
Haryana,-144.0,150.0
Himachal Pradesh,-136.0,232.0
Jharkhand,52.0,10.0
Karnataka,-170.0,-226.0
Kerala,-148.0,-307.0
Madhya Pradesh,-134.0,-4.0
Maharashtra,-199.0,-105.0
Manipur,260.0,37.0
Meghalaya,189.0,56.0
Mizoram,243.0,1.0
Nagaland,277.0,68.0
Odisha,30.0,-64.0
Punjab,-181.0,198.0
Rajasthan,-235.0,88.0
Sikkim,141.0,112.0
Tamil Nadu,-109.0,-304.0
Telangana,-87.0,-136.0
Tripura,214.0,8.0
Uttar Pradesh,-67.0,97.0
Uttarakhand,-93.0,187.0
West Bengal,113.0,-4.0